season,episode,title,rating,votes
1,1,"Good News, Bad News",7.3,7557
1,2,The Stakeout,7.5,6442
1,3,The Robbery,7.4,5910
1,4,Male Unbonding,7.2,5748
1,5,The Stock Tip,7.3,5554
2,1,The Ex-Girlfriend,7.5,5428
2,2,The Pony Remark,7.8,5647
2,3,The Jacket,8.2,5767
2,4,The Phone Message,8.3,5573
2,5,The Apartment,7.7,5101
2,6,The Statue,7.8,5143
2,7,The Revenge,8.2,5262
2,8,The Heart Attack,7.8,5189
2,9,The Deal,8.2,5222
2,10,The Baby Shower,7.4,4974
2,11,The Chinese Restaurant,8.6,6256
2,12,The Busboy,7.6,4972
3,1,The Note,8.2,5330
3,2,The Truth,7.7,4803
3,3,The Pen,8.2,5398
3,4,The Dog,7.1,5178
3,5,The Library,8.5,5876
3,6,The Parking Garage,8.7,6387
3,7,The Cafe,8.3,5036
3,8,The Tape,8.7,5472
3,9,The Nose Job,7.8,4906
3,10,The Stranded,7.4,4798
3,11,The Alternate Side,8.2,4892
3,12,The Red Dot,8.3,4921
3,13,The Subway,8.7,5720
3,14,The Pez Dispenser,8.4,4964
3,15,The Suicide,7.4,4495
3,16,The Fix Up,8.4,5001
3,17,The Boyfriend,8.6,5634
3,18,The Limo,8.9,6390
3,19,The Good Samaritan,7.8,4486
3,20,The Letter,7.8,4364
3,21,The Parking Space,8.2,4659
3,22,The Keys,8.2,4545
4,1,The Trip: Part 1,8,4598
4,2,The Trip: Part 2,8.3,4555
4,3,The Pitch,8.5,4701
4,4,The Ticket,8.2,4319
4,5,The Wallet,7.9,4278
4,6,The Watch,8,4188
4,7,The Bubble Boy,8.7,5703
4,8,The Cheever Letters,8.5,4635
4,9,The Opera,8.2,4492
4,10,The Virgin,8.1,4370
4,11,The Contest,9.5,10128
4,12,The Airport,8.9,5538
4,13,The Pick,8.5,4641
4,14,The Movie,8.1,4451
4,15,The Visa,8,4182
4,16,The Shoes,8.1,4411
4,17,The Outing,9.4,7542
4,18,The Old Man,8,4422
4,19,The Implant,8.6,4707
4,20,The Junior Mint,8.7,5162
4,21,The Smelly Car,8.3,4463
4,22,The Handicap Spot,8.2,4279
4,23,The Pilot,8.6,4711
5,1,The Mango,8.5,4708
5,2,The Puffy Shirt,8.8,5491
5,3,The Glasses,8.3,4456
5,4,The Sniffing Accountant,8.1,4302
5,5,The Bris,8,4537
5,6,The Lip Reader,8.4,4381
5,7,The Non-Fat Yogurt,8.3,4633
5,8,The Barber,8.3,4472
5,9,The Masseuse,7.7,4188
5,10,The Cigar Store Indian,8.4,4571
5,11,The Conversion,8.1,4175
5,12,The Stall,8.6,4594
5,13,The Dinner Party,8.2,4322
5,14,The Marine Biologist,9.2,6754
5,15,The Pie,8.5,4372
5,16,The Stand-In,7.6,4033
5,17,The Wife,7.9,4167
5,18,The Raincoats,8.3,4239
5,19,The Fire,8.6,4623
5,20,The Hamptons,9.1,5780
5,21,The Opposite,9.5,8032
6,1,The Chaperone,7.8,4054
6,2,The Big Salad,8,4245
6,3,The Pledge Drive,8.2,4174
6,4,The Chinese Woman,8.1,4137
6,5,The Couch,8,4097
6,6,The Gymnast,8.2,4198
6,7,The Soup,8,4030
6,8,The Mom and Pop Store,8,4082
6,9,The Secretary,8,3866
6,10,The Race,8.9,5352
6,11,The Switch,8.9,5228
6,12,The Label Maker,8.5,4118
6,13,The Scofflaw,8,3837
